,path,speakerId,transcription,intent,intentLbl
141,../smart-lights-en-close-field/speech_corpus/audio/609.wav,057065b7-fdaa-42ac-998c-4efb48d620eb,Is it possible to turn down the brightness in the kids bedroom,DecreaseBrightness,0
782,../smart-lights-en-close-field/speech_corpus/audio/731.wav,057065b7-fdaa-42ac-998c-4efb48d620eb,Make the entire flat brighter,IncreaseBrightness,1
976,../smart-lights-en-close-field/speech_corpus/audio/155.wav,057065b7-fdaa-42ac-998c-4efb48d620eb,Change meeting room lights to pink.,SetLightColor,3
16,../smart-lights-en-close-field/speech_corpus/audio/1527.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,please dim the lights,DecreaseBrightness,0
39,../smart-lights-en-close-field/speech_corpus/audio/7.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Add more lighting in the basement,IncreaseBrightness,1
96,../smart-lights-en-close-field/speech_corpus/audio/55.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Can the living room lights be turned off,SwitchLightOff,4
198,../smart-lights-en-close-field/speech_corpus/audio/52.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Can the changing room lights be turned on,SwitchLightOn,5
202,../smart-lights-en-close-field/speech_corpus/audio/592.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Increase the light intensity,IncreaseBrightness,1
245,../smart-lights-en-close-field/speech_corpus/audio/885.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Please shut off the lights above the toilet,SwitchLightOff,4
273,../smart-lights-en-close-field/speech_corpus/audio/813.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Once you enter the laundry room turn on the lights,SwitchLightOn,5
300,../smart-lights-en-close-field/speech_corpus/audio/50.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Bring darkness to this room by turning off the lights,SwitchLightOff,4
391,../smart-lights-en-close-field/speech_corpus/audio/778.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Make the lights less bright,DecreaseBrightness,0
400,../smart-lights-en-close-field/speech_corpus/audio/1498.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,make it darker in here,DecreaseBrightness,0
461,../smart-lights-en-close-field/speech_corpus/audio/533.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,I'd like the living room lights to be at twelve percent,SetLightBrightness,2
470,../smart-lights-en-close-field/speech_corpus/audio/228.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Darken the waiting room,SwitchLightOff,4
536,../smart-lights-en-close-field/speech_corpus/audio/187.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Change the lighting of the pantry to thirty nine,SetLightBrightness,2
738,../smart-lights-en-close-field/speech_corpus/audio/887.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Please stop the lights,SwitchLightOff,4
817,../smart-lights-en-close-field/speech_corpus/audio/1040.wav,0f9d4a24-4d36-4378-98fd-3ddbe67d2f29,Shine some lights in the office,SwitchLightOn,5
