,Unnamed: 0,path,speakerId,transcription,action,object,location
0,412,wavs/speakers/2ojo7YRL7Gck83Z3/78d04750-45df-11e9-81ce-69b74fd7e64e.wav,2ojo7YRL7Gck83Z3,"It’s too loud, turn it down",decrease,volume,none
1,2118,wavs/speakers/mj4BWeRbp7ildyB9d/668a8300-4529-11e9-a843-8db76f4b5e29.wav,mj4BWeRbp7ildyB9d,Could you decrease the heating please?,decrease,heat,none
2,2290,wavs/speakers/7NEaXjeLX3sg3yDB/bd8f9c40-454b-11e9-aa52-bf2189a03a60.wav,7NEaXjeLX3sg3yDB,Kitchen heat up,increase,heat,kitchen
3,11051,wavs/speakers/kxgXN97ALmHbaezp/96b3bcc0-4468-11e9-beaa-1f3e1eab7bff.wav,kxgXN97ALmHbaezp,Washroom heat down,decrease,heat,washroom
4,21432,wavs/speakers/Z7BXPnplxGUjZdmBZ/78aac860-44f7-11e9-a1ea-79ca03012c0e.wav,Z7BXPnplxGUjZdmBZ,Bathroom lights on,activate,lights,washroom
5,11309,wavs/speakers/M4ybygBlWqImBn9oZ/74d3fd90-4549-11e9-aa52-bf2189a03a60.wav,M4ybygBlWqImBn9oZ,Switch off the lights,deactivate,lights,none
6,363,wavs/speakers/4BrX8aDqK2cLZRYl/b43d96c0-4531-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,"It’s too loud, turn the volume down",decrease,volume,none
7,3130,wavs/speakers/9EWlVBQo9rtqRYdy/b6f66ec0-45ed-11e9-aa19-e96346c3828f.wav,9EWlVBQo9rtqRYdy,Turn the temperature in the bedroom down,decrease,heat,bedroom
8,12218,wavs/speakers/mor8vDGkaOHzLLWBp/085cfa60-4542-11e9-b1e4-e5985dca719e.wav,mor8vDGkaOHzLLWBp,Switch languages,change language,none,none
9,12864,wavs/speakers/neaPN7GbBEUex8rV/a023a800-45d6-11e9-81ce-69b74fd7e64e.wav,neaPN7GbBEUex8rV,Turn the temperature up in the washroom,increase,heat,washroom
10,795,wavs/speakers/7B4XmNppyrCK977p/94f46e50-45cd-11e9-9992-dfba019cb646.wav,7B4XmNppyrCK977p,Turn the lights off in the kitchen,deactivate,lights,kitchen
11,13469,wavs/speakers/ObdQbr9wyDfbmW4E/18bcc6f0-4453-11e9-beaa-1f3e1eab7bff.wav,ObdQbr9wyDfbmW4E,Change language,change language,none,none
12,15718,wavs/speakers/R3mexpM2YAtdPbL7/48293f10-4500-11e9-a1ea-79ca03012c0e.wav,R3mexpM2YAtdPbL7,Turn the temperature in the bedroom down,decrease,heat,bedroom
13,16734,wavs/speakers/RjDBre8jzzhdr4YL/25307b40-441f-11e9-beaa-1f3e1eab7bff.wav,RjDBre8jzzhdr4YL,Set language to Chinese,change language,Chinese,none
14,4981,wavs/speakers/BvyakyrDmQfWEABb/93098d70-45fd-11e9-bc65-55b32b211b66.wav,BvyakyrDmQfWEABb,Switch on the lights in the bedroom,activate,lights,bedroom
15,15360,wavs/speakers/R3mexpM2YAtdPbL7/d8c10800-44fb-11e9-a1ea-79ca03012c0e.wav,R3mexpM2YAtdPbL7,Turn on the lights in the bedroom,activate,lights,bedroom
16,1869,wavs/speakers/73bEEYMKLwtmVwV43/73bfb4f0-4529-11e9-a843-8db76f4b5e29.wav,73bEEYMKLwtmVwV43,Turn the bedroom heat up,increase,heat,bedroom
17,409,wavs/speakers/4BrX8aDqK2cLZRYl/68a891f0-4532-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,Decrease the heating in the kitchen,decrease,heat,kitchen
18,4807,wavs/speakers/AY5e3mMgZkIyG3Ox/6f2f0fb0-446d-11e9-beaa-1f3e1eab7bff.wav,AY5e3mMgZkIyG3Ox,"It’s too loud, turn it down",decrease,volume,none
19,8793,wavs/speakers/gvKeNY2D3Rs2jRdL/b93a1340-4597-11e9-bf4b-216bfa333ac2.wav,gvKeNY2D3Rs2jRdL,Fetch my socks,bring,socks,none
20,2409,wavs/speakers/ppymZZDb2Bf4NQnE/49191b20-44f1-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,Switch on the bathroom lights,activate,lights,washroom
21,21989,wavs/speakers/zaEBPeMY4NUbDnZy/71a7e300-44dd-11e9-a8b6-e96f2628bf65.wav,zaEBPeMY4NUbDnZy,Increase the heating in the washroom,increase,heat,washroom
22,5182,wavs/speakers/BvyakyrDmQfWEABb/0458bab0-4607-11e9-bc65-55b32b211b66.wav,BvyakyrDmQfWEABb,Turn the temperature down,decrease,heat,none
23,2056,wavs/speakers/mj4BWeRbp7ildyB9d/b5b13a10-4528-11e9-a843-8db76f4b5e29.wav,mj4BWeRbp7ildyB9d,Turn the sound up,increase,volume,none
24,96,wavs/speakers/4BrX8aDqK2cLZRYl/15c9f540-452e-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,That's too quiet,increase,volume,none
25,1145,wavs/speakers/52XVOeXMXYuaElyw/634ffbc0-45c9-11e9-8ec0-7bf21d1cfe30.wav,52XVOeXMXYuaElyw,Increase the volume,increase,volume,none
26,6194,wavs/speakers/d3erpmyk9yFlVyrZ/b0cbb7c0-4611-11e9-bc65-55b32b211b66.wav,d3erpmyk9yFlVyrZ,Set language to Korean,change language,Korean,none
27,7040,wavs/speakers/EExgNZ9dvgTE3928/1e031e60-4611-11e9-bc65-55b32b211b66.wav,EExgNZ9dvgTE3928,Decrease the heating in the bedroom,decrease,heat,bedroom
28,2818,wavs/speakers/Q4vMvpXkXBsqryvZ/123597d0-4516-11e9-9035-7943ec3b842a.wav,Q4vMvpXkXBsqryvZ,Louder please,increase,volume,none
29,19694,wavs/speakers/xRQE5VD7rRHVdyvM/48f86b50-45c3-11e9-8ec0-7bf21d1cfe30.wav,xRQE5VD7rRHVdyvM,Turn the temperature down in the washroom,decrease,heat,washroom
30,1623,wavs/speakers/5BEzPgPKe8taG9OB/9b645dc0-457f-11e9-9600-8f19ade2128c.wav,5BEzPgPKe8taG9OB,OK now switch the main language to Korean,change language,Korean,none
31,9238,wavs/speakers/Gym5dABePPHA8mZK9/85ca66e0-45f1-11e9-aa19-e96346c3828f.wav,Gym5dABePPHA8mZK9,Turn up the heat in the kitchen,increase,heat,kitchen
32,15438,wavs/speakers/R3mexpM2YAtdPbL7/0bbcfba0-44fd-11e9-a1ea-79ca03012c0e.wav,R3mexpM2YAtdPbL7,Kitchen heat up,increase,heat,kitchen
33,19780,wavs/speakers/xRQE5VD7rRHVdyvM/36a60fb0-45c4-11e9-8ec0-7bf21d1cfe30.wav,xRQE5VD7rRHVdyvM,Turn the volume down,decrease,volume,none
34,12724,wavs/speakers/neaPN7GbBEUex8rV/ec84e860-45d3-11e9-9992-dfba019cb646.wav,neaPN7GbBEUex8rV,Resume,activate,music,none
35,5713,wavs/speakers/d2waAp3pEjiWgrDEY/179f68a0-451a-11e9-9035-7943ec3b842a.wav,d2waAp3pEjiWgrDEY,Quieter,decrease,volume,none
36,7013,wavs/speakers/EExgNZ9dvgTE3928/aea96970-4610-11e9-bc65-55b32b211b66.wav,EExgNZ9dvgTE3928,Turn up the heat in the washroom,increase,heat,washroom
37,14933,wavs/speakers/qNY4Qwveojc8jlm4/260081f0-44ce-11e9-a8b6-e96f2628bf65.wav,qNY4Qwveojc8jlm4,Decrease audio volume,decrease,volume,none
38,20515,wavs/speakers/xwzgmmv5ZOiVaxXz/21f48a70-452d-11e9-b1e4-e5985dca719e.wav,xwzgmmv5ZOiVaxXz,Lights on in the kitchen,activate,lights,kitchen
39,112,wavs/speakers/2BqVo8kVB2Skwgyb/3cc8eb10-447a-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,Turn the bedroom heat down,decrease,heat,bedroom
40,11376,wavs/speakers/M4ybygBlWqImBn9oZ/69c4ea80-454a-11e9-aa52-bf2189a03a60.wav,M4ybygBlWqImBn9oZ,Lights off in the bedroom,deactivate,lights,bedroom
41,15101,wavs/speakers/qNY4Qwveojc8jlm4/9e54d6f0-44cf-11e9-a8b6-e96f2628bf65.wav,qNY4Qwveojc8jlm4,Switch on the lamp,activate,lamp,none
42,8299,wavs/speakers/gNYvkbx3gof2Y3V9/5107c410-44df-11e9-a8b6-e96f2628bf65.wav,gNYvkbx3gof2Y3V9,Switch off the lights in the bedroom,deactivate,lights,bedroom
43,15623,wavs/speakers/R3mexpM2YAtdPbL7/604ed880-44ff-11e9-a1ea-79ca03012c0e.wav,R3mexpM2YAtdPbL7,Switch off the lights in the bedroom,deactivate,lights,bedroom
44,6811,wavs/speakers/DWmlpyg93YCXAXgE/b62f7fb0-4505-11e9-a1ea-79ca03012c0e.wav,DWmlpyg93YCXAXgE,Bring me some juice,bring,juice,none
45,12286,wavs/speakers/n5XllaB4gZFwZXkBz/7cf16a80-45ee-11e9-aa19-e96346c3828f.wav,n5XllaB4gZFwZXkBz,Switch on the kitchen lights,activate,lights,kitchen
