,Unnamed: 0,path,speakerId,transcription,action,object,location
0,2643,wavs/speakers/8e5qRjN7dGuovkRY/8513fde0-459e-11e9-bf4b-216bfa333ac2.wav,8e5qRjN7dGuovkRY,Turn down the washroom temperature,decrease,heat,washroom
1,22502,wavs/speakers/zwKdl7Z2VRudGj2L/dce6e520-4515-11e9-9035-7943ec3b842a.wav,zwKdl7Z2VRudGj2L,That’s too loud,decrease,volume,none
2,1555,wavs/speakers/eBQAWmMg4gsLYLLa/337db790-4509-11e9-9539-7f047cfe24d1.wav,eBQAWmMg4gsLYLLa,Turn the bedroom lights off,deactivate,lights,bedroom
3,9332,wavs/speakers/Gym5dABePPHA8mZK9/79317f80-45f2-11e9-aa19-e96346c3828f.wav,Gym5dABePPHA8mZK9,Set language to Chinese,change language,Chinese,none
4,2654,wavs/speakers/Q4vMvpXkXBsqryvZ/df4b8d40-450e-11e9-9539-7f047cfe24d1.wav,Q4vMvpXkXBsqryvZ,Turn the volume up,increase,volume,none
5,1187,wavs/speakers/D4jGxZ7KamfVo4E2V/f9f92680-45d0-11e9-9992-dfba019cb646.wav,D4jGxZ7KamfVo4E2V,Resume music,activate,music,none
6,18233,wavs/speakers/W7LeKXje7QhZlLKe/bde11370-4552-11e9-aa52-bf2189a03a60.wav,W7LeKXje7QhZlLKe,Turn the volume up,increase,volume,none
7,5492,wavs/speakers/d2waAp3pEjiWgrDEY/02efab20-4512-11e9-9539-7f047cfe24d1.wav,d2waAp3pEjiWgrDEY,Washroom lights off,deactivate,lights,washroom
8,15918,wavs/speakers/R3mXwwoaX9IoRVKe/15e2eac0-454a-11e9-aa52-bf2189a03a60.wav,R3mXwwoaX9IoRVKe,Increase the heating,increase,heat,none
9,254,wavs/speakers/7NqqnAOPVVSKnxyv/1595ee40-4631-11e9-bc65-55b32b211b66.wav,7NqqnAOPVVSKnxyv,Switch off the lights,deactivate,lights,none
10,2421,wavs/speakers/ppymZZDb2Bf4NQnE/65bc30f0-44f1-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,Switch off the lights in the bedroom,deactivate,lights,bedroom
11,1945,wavs/speakers/73bEEYMKLwtmVwV43/6ada9be0-452c-11e9-b1e4-e5985dca719e.wav,73bEEYMKLwtmVwV43,Make the music softer,decrease,volume,none
12,15232,wavs/speakers/qNY4Qwveojc8jlm4/c7cdf240-44d0-11e9-a8b6-e96f2628bf65.wav,qNY4Qwveojc8jlm4,Decrease the temperature in the kitchen,decrease,heat,kitchen
13,3131,wavs/speakers/9EWlVBQo9rtqRYdy/b98975b0-45ed-11e9-aa19-e96346c3828f.wav,9EWlVBQo9rtqRYdy,Turn down the bedroom heat,decrease,heat,bedroom
14,8285,wavs/speakers/gNYvkbx3gof2Y3V9/150e8660-44df-11e9-a8b6-e96f2628bf65.wav,gNYvkbx3gof2Y3V9,Lights on in the washroom,activate,lights,washroom
15,1204,wavs/speakers/D4jGxZ7KamfVo4E2V/2630bb00-45d1-11e9-9992-dfba019cb646.wav,D4jGxZ7KamfVo4E2V,Get me my shoes,bring,shoes,none
16,10132,wavs/speakers/kNnmb7MdArswxLYw/a39a60c0-45ed-11e9-aa19-e96346c3828f.wav,kNnmb7MdArswxLYw,Increase the heating,increase,heat,none
17,7412,wavs/speakers/eLQ3mNg27GHLkDej/16c54760-453d-11e9-b1e4-e5985dca719e.wav,eLQ3mNg27GHLkDej,Increase the sound volume,increase,volume,none
18,6476,wavs/speakers/DMApMRmGq5hjkyvX/c800e640-45da-11e9-81ce-69b74fd7e64e.wav,DMApMRmGq5hjkyvX,Switch on the kitchen lights,activate,lights,kitchen
19,6050,wavs/speakers/d3erpmyk9yFlVyrZ/d12861e0-460b-11e9-bc65-55b32b211b66.wav,d3erpmyk9yFlVyrZ,Lights off in the kitchen,deactivate,lights,kitchen
20,14142,wavs/speakers/oXjpaOq4wVUezb3x/6c8decd0-450e-11e9-9539-7f047cfe24d1.wav,oXjpaOq4wVUezb3x,Lights on in the washroom,activate,lights,washroom
21,16097,wavs/speakers/R3mXwwoaX9IoRVKe/c3efb3f0-454f-11e9-aa52-bf2189a03a60.wav,R3mXwwoaX9IoRVKe,Switch the bedroom lights on,activate,lights,bedroom
22,13724,wavs/speakers/oNOZxyvRe3Ikx3La/07f9a250-450e-11e9-9539-7f047cfe24d1.wav,oNOZxyvRe3Ikx3La,Decrease the volume,decrease,volume,none
