audio path,predicted_words
../smart-lights-en-close-field/speech_corpus/audio/993.wav,set the brightness in the kids room 2 level 22
../smart-lights-en-close-field/speech_corpus/audio/1316.wav,turn the lights up in the toilets
../smart-lights-en-close-field/speech_corpus/audio/959.wav,put the lights on
../smart-lights-en-close-field/speech_corpus/audio/496.wav,I would like the brightness of the lights to be level five
../smart-lights-en-close-field/speech_corpus/audio/513.wav,I'd like the bedroom lights to be at 10%
../smart-lights-en-close-field/speech_corpus/audio/543.wav,I prefer the laundry room lights to be turned to Green
../smart-lights-en-close-field/speech_corpus/audio/970.wav,reduce the brightness in my bedroom as I'm going to sleep
../smart-lights-en-close-field/speech_corpus/audio/350.wav,need to like to be increased
../smart-lights-en-close-field/speech_corpus/audio/1042.wav,shut down the bedroom light
../smart-lights-en-close-field/speech_corpus/audio/1531.wav,please give me some light in the kitchen
../smart-lights-en-close-field/speech_corpus/audio/1588.wav,switch off the bathroom lights
../smart-lights-en-close-field/speech_corpus/audio/1444.wav,in my kids room turn the lights off
../smart-lights-en-close-field/speech_corpus/audio/838.wav,please turn the living room lights to red
../smart-lights-en-close-field/speech_corpus/audio/493.wav,I would like lights on inside the house
../smart-lights-en-close-field/speech_corpus/audio/652.wav,lights out please
../smart-lights-en-close-field/speech_corpus/audio/95.wav,can you please brighten this room up a bit
../smart-lights-en-close-field/speech_corpus/audio/1527.wav,please dim the lights
../smart-lights-en-close-field/speech_corpus/audio/986.wav,living room bright level 222
../smart-lights-en-close-field/speech_corpus/audio/1303.wav,turn the lights on
../smart-lights-en-close-field/speech_corpus/audio/971.wav,reduce the brightness in the bedroom please
../smart-lights-en-close-field/speech_corpus/audio/846.wav,please get the lights off
../smart-lights-en-close-field/speech_corpus/audio/178.wav,in the laundry room color to Green
../smart-lights-en-close-field/speech_corpus/audio/1532.wav,please increase the brightness
../smart-lights-en-close-field/speech_corpus/audio/766.wav,make the lights go on
../smart-lights-en-close-field/speech_corpus/audio/594.wav,increase the lighting
../smart-lights-en-close-field/speech_corpus/audio/805.wav,more light please
../smart-lights-en-close-field/speech_corpus/audio/1246.wav,turn the brightness to 39%
../smart-lights-en-close-field/speech_corpus/audio/20.wav,adjust the laundry room lighting for level 39
../smart-lights-en-close-field/speech_corpus/audio/550.wav,I'm going to Kitchen can you give me some lights please
../smart-lights-en-close-field/speech_corpus/audio/1019.wav,set the lights dimmer in the office
../smart-lights-en-close-field/speech_corpus/audio/356.wav,I need the lights off in the entrance
../smart-lights-en-close-field/speech_corpus/audio/674.wav,make certain no lights are on in the bathroom
../smart-lights-en-close-field/speech_corpus/audio/398.wav,I want red lights please
../smart-lights-en-close-field/speech_corpus/audio/1220.wav,turn on the lights in the entrance
../smart-lights-en-close-field/speech_corpus/audio/1306.wav,turn the lights to a darker setting in the office
../smart-lights-en-close-field/speech_corpus/audio/953.wav,put the cellar lights.
../smart-lights-en-close-field/speech_corpus/audio/897.wav,please turn down the lights
../smart-lights-en-close-field/speech_corpus/audio/1365.wav,brighten up the cubicle
../smart-lights-en-close-field/speech_corpus/audio/1061.wav,switch all of the lights to the off position in the best of deal
../smart-lights-en-close-field/speech_corpus/audio/7.wav,add more Lighting in the basement
../smart-lights-en-close-field/speech_corpus/audio/1542.wav,list which color of all lights to Green
../smart-lights-en-close-field/speech_corpus/audio/1380.wav,can you turn the lights down
../smart-lights-en-close-field/speech_corpus/audio/150.wav,change lights in garage to level five
../smart-lights-en-close-field/speech_corpus/audio/847.wav,please go on and increase the brightness
../smart-lights-en-close-field/speech_corpus/audio/830.wav,please change the color to Red in the bathroom
../smart-lights-en-close-field/speech_corpus/audio/741.wav,make the laundry room of otago please
../smart-lights-en-close-field/speech_corpus/audio/558.wav,change the lights to Pink
../smart-lights-en-close-field/speech_corpus/audio/115.wav,can you set the meeting room to be a pink hue
../smart-lights-en-close-field/speech_corpus/audio/1024.wav,set the lights to a higher intensity in the changing room
../smart-lights-en-close-field/speech_corpus/audio/1088.wav,the brightness in the studio should be 22
../smart-lights-en-close-field/speech_corpus/audio/1463.wav,it's so dark in here please turn off the lights just a little
../smart-lights-en-close-field/speech_corpus/audio/1572.wav,set the living room lights to 10%
../smart-lights-en-close-field/speech_corpus/audio/1057.wav,stop the lights from shining in the bathroom
../smart-lights-en-close-field/speech_corpus/audio/33.wav,assistant turn my lights on
../smart-lights-en-close-field/speech_corpus/audio/1025.wav,set the lights to a higher intensity in the living room
../smart-lights-en-close-field/speech_corpus/audio/1434.wav,I need light
../smart-lights-en-close-field/speech_corpus/audio/1387.wav,change lamp to Pink
../smart-lights-en-close-field/speech_corpus/audio/630.wav,let there be light
../smart-lights-en-close-field/speech_corpus/audio/866.wav,please make the lights brighter
../smart-lights-en-close-field/speech_corpus/audio/1154.wav,turn down the lights in the large meeting room
