path,speakerId,transcription,intent,intentLbl
../smart-lights-en-close-field/speech_corpus/audio/993.wav,143921a6-6caa-417f-bd7e-2732023270c1,Set the brightness in the kids room to level twenty two,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/1316.wav,61febf20-bc56-49b9-8e3a-e2ec25b362e6,Turn the lights up in the toilets.,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/959.wav,4e1a0afa-74e0-4d34-a6cd-ae2d96067f0f,Put the lights on,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/496.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,I would like the brightness of the lights to be level five.,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/513.wav,61febf20-bc56-49b9-8e3a-e2ec25b362e6,I'd like the bedroom lights to be at ten percent,SetLightBrightness,2
../smart-lights-en-close-field/speech_corpus/audio/543.wav,40b461a0-8c0c-42a6-b51c-99b1a8bff054,I'd prefer the laundry room lights to be turned to green,SetLightColor,3
../smart-lights-en-close-field/speech_corpus/audio/970.wav,16760ead-20e2-42f7-a62d-3ed356699f7f,Reduce the brightness in my bedroom as I am going to sleep,DecreaseBrightness,0
../smart-lights-en-close-field/speech_corpus/audio/350.wav,4373a208-efd7-4eea-9440-94f52145cd78,I need the light to be increased,IncreaseBrightness,1
../smart-lights-en-close-field/speech_corpus/audio/1042.wav,d74e7c3a-9e2f-40ea-a6da-cf1399adc25c,Shut down the kids bedroom lights.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1531.wav,61febf20-bc56-49b9-8e3a-e2ec25b362e6,please give me some light in the kitchen,SwitchLightOn,5
../smart-lights-en-close-field/speech_corpus/audio/1588.wav,01356b70-791d-42c4-b14b-56fefa67358f,switch off the bathroom lights,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/1444.wav,974d3dfa-d5ed-4f7a-a2d8-e72d521c69ce,in my kids room turn the lights off.,SwitchLightOff,4
../smart-lights-en-close-field/speech_corpus/audio/838.wav,f0f71ab4-dd42-43f7-bd05-7d1950326935,Please change the living room lights to red.,SetLightColor,3
