,Unnamed: 0,path,speakerId,transcription,action,object,location
0,14976,wavs/speakers/qNY4Qwveojc8jlm4/94a36a00-44ce-11e9-a8b6-e96f2628bf65.wav,qNY4Qwveojc8jlm4,Bathroom heat up,increase,heat,washroom
1,3820,wavs/speakers/anvKyBjB5OiP5dYZ/627779e0-4578-11e9-9600-8f19ade2128c.wav,anvKyBjB5OiP5dYZ,Turn the lights on,activate,lights,none
2,3683,wavs/speakers/anvKyBjB5OiP5dYZ/d4b5c310-4576-11e9-9600-8f19ade2128c.wav,anvKyBjB5OiP5dYZ,Decrease the volume,decrease,volume,none
3,9049,wavs/speakers/Gym5dABePPHA8mZK9/bd2f08a0-45ee-11e9-aa19-e96346c3828f.wav,Gym5dABePPHA8mZK9,Turn the sound up,increase,volume,none
4,8262,wavs/speakers/gNYvkbx3gof2Y3V9/aa9bb370-44de-11e9-a8b6-e96f2628bf65.wav,gNYvkbx3gof2Y3V9,Start the music,activate,music,none
5,1460,wavs/speakers/k5bqyxx2lzIbrlg9/be19d350-4529-11e9-a843-8db76f4b5e29.wav,k5bqyxx2lzIbrlg9,Turn the heat up in the washroom,increase,heat,washroom
6,15942,wavs/speakers/R3mXwwoaX9IoRVKe/a64c5e70-454a-11e9-aa52-bf2189a03a60.wav,R3mXwwoaX9IoRVKe,Washroom heat up,increase,heat,washroom
7,16324,wavs/speakers/RjDBre8jzzhdr4YL/8e0eacd0-4411-11e9-85a0-dd11eb2f13b6.wav,RjDBre8jzzhdr4YL,Turn on the lamp,activate,lamp,none
8,3943,wavs/speakers/anvKyBjB5OiP5dYZ/3af67db0-457a-11e9-9600-8f19ade2128c.wav,anvKyBjB5OiP5dYZ,Turn the kitchen temperature up,increase,heat,kitchen
9,21899,wavs/speakers/zaEBPeMY4NUbDnZy/e56b0960-44d9-11e9-a8b6-e96f2628bf65.wav,zaEBPeMY4NUbDnZy,Turn the washroom lights on,activate,lights,washroom
10,91,wavs/speakers/4BrX8aDqK2cLZRYl/06b072f0-452e-11e9-b1e4-e5985dca719e.wav,4BrX8aDqK2cLZRYl,I need volume,increase,volume,none
11,13284,wavs/speakers/ObdQbr9wyDfbmW4E/309859b0-443f-11e9-beaa-1f3e1eab7bff.wav,ObdQbr9wyDfbmW4E,Volume down,decrease,volume,none
12,863,wavs/speakers/52XVOeXMXYuaElyw/12c65620-45c6-11e9-8ec0-7bf21d1cfe30.wav,52XVOeXMXYuaElyw,Switch the bedroom lights on,activate,lights,bedroom
13,20595,wavs/speakers/xwzgmmv5ZOiVaxXz/1d36c960-452f-11e9-b1e4-e5985dca719e.wav,xwzgmmv5ZOiVaxXz,Turn up the temperature in the bedroom,increase,heat,bedroom
14,11922,wavs/speakers/mor8vDGkaOHzLLWBp/c7a6ff50-453e-11e9-b1e4-e5985dca719e.wav,mor8vDGkaOHzLLWBp,Decrease the temperature,decrease,heat,none
15,2628,wavs/speakers/ppymZZDb2Bf4NQnE/476d5f90-44f4-11e9-a1ea-79ca03012c0e.wav,ppymZZDb2Bf4NQnE,Lamp off,deactivate,lamp,none
16,2683,wavs/speakers/NgXwdx5KkZI5GRWa/ee080820-45e2-11e9-81ce-69b74fd7e64e.wav,NgXwdx5KkZI5GRWa,Set my phone's language to German,change language,German,none
